VideoFileName,Trial,1CorrectChoice,2CorrectChoice,1LocusSolved,2LocusSolved,Coder1,Coder2
A031-Y 2018-12-20 Multiaccess box S1 T1.mp4,1,1,1,twist,twist,KM,Lam
A031-Y 2018-12-20 Multiaccess box S1 T1.mp4,2,0,0,none,none,KM,Lam
A031-Y 2018-12-20 Multiaccess box S2 T3.mp4,3,-1,-1,none,none,KM,Lam
A031-Y 2018-12-21 Multiaccess box S3 T3.mp4,3,-1,-1,none,none,CL,Lam
A031-Y 2018-12-21 Multiaccess box S4 T3.mp4,3,-1,-1,none,none,CL,Lam
A031-Y 2018-12-24 Multiaccess box S5 T4.mp4 ,4,-1,-1,none,none,CL,Lam
A031-Y 2018-12-25 Multiaccess box S6 T4.mp4 ,4,-1,-1,none,none,CL,Lam
A031-Y 2018-12-26 Multiaccess box S7 T4.mp4,4,-1,-1,none,none,CL,Lam
A031-Y 2018-12-27 Multiaccess Box S8 T4.mp4,4,0,0,none,none,LB,Lam
A031-Y 2018-12-27 Multiaccess Box S9 T4.mp4 ,4,1,1,twist,twist,LB,Lam
A031-Y 2018-12-27 Multiaccess Box S9 T4.mp4,5,1,1,twist,twist,LB,Lam
A031-Y 2018-12-27 Multiaccess Box S9 T4.mp4 ,6,1,1,string,twist,LB,Lam
A031-Y 2018-12-27 Multiaccess Box S9 T4.mp4,7,-1,-1,none,none,LB,Lam
A031-Y 2018-12-28 Multiaccess Box S10 T7.mp4,7,-1,-1,none,none,LB,Lam
A031-Y 2018-12-28 Multiaccess Box S11 T7.mp4,7,-1,-1,none,none,LB,Lam
A031-Y 2018-12-30 Multiaccess box S12 T7.mp4,7,1,1,twist,twist,CL,Lam
A031-Y 2018-12-30 Multiaccess box S12 T8.mp4 ,8,1,1,twist,twist,CL,Lam
A031-Y 2018-12-30 Multiaccess box S12 T9.mp4,9,-1,-1,none,none,CL,Lam
A031-Y 2018-12-31 Multiaccess box S13 T9.mp4 ,9,1,1,twist,twist,CL,Lam
A031-Y 2018-12-31 Multiaccess box S13 T10.mp4,10,-1,-1,none,none,CL,Lam
A031-Y 2018-12-31 Multiaccess box S14 T10.mp4,10,0,0,none,none,CL,Lam
A031-Y 2019-01-01 Multiaccess box S15 T11.mp4,11,1,1,string,string,CL,Lam
A031-Y 2019-01-01 Multiaccess box S15 T12.mp4,12,1,1,push,push,CL,Lam
A031-Y 2019-01-01 Multiaccess box S15 T13.mp4 ,13,1,1,push,push,CL,Lam
A031-Y 2019-01-01 Multiaccess box S15 T14.mp4,14,0,0,none,none,CL,Lam
A031-Y 2019-01-01 Multiaccess box S16 T15.mp4,15,1,1,push,push,CL,Lam
A031-Y 2019-01-01 Multiaccess box S16 T16.mp4 ,16,0,0,none,none,CL,Lam
A031-Y 2019-01-02 Multiaccess box S17 T17.mp4 ,17,1,1,push,push,LB,Lam
A031-Y 2019-01-02 Multiaccess box S17 T18.mp4,18,-1,-1,none,none,LB,Lam
A031-Y 2019-01-02 Multiaccess box S18 T18.mp4,18,1,1,string,string,LB,Lam
A031-Y 2019-01-02 Multiaccess box S18 T18.mp4,19,-1,-1,none,none,LB,Lam
A031-Y 2019-01-03 Multiaccess Box S19 T19.mp4 ,19,-1,-1,none,none,LB,Lam
A031-Y 2019-01-03 Multiaccess Box S20 T19.mp4,19,-1,-1,none,none,LB,Lam
A025GO 2018-12-5 Multiaccess box S1 T1.mp4,1,-1,-1,none,none,KM,Lam
A025GO 2018-12-5 Multiaccess box S2 T1.mp4,1,-1,-1,none,none,KM,Lam
A025GO 2018-12-5 Multiaccess box S3 T1.mp4,1,-1,-1,none,none,KM,Lam
A025GO 2018-12-5 Multiaccess box S4 T1.mp4,1,-1,-1,none,none,KM,Lam
A025GO 2018-12-7 Multiaccess box S5 T1.mp4,1,-1,-1,none,none,KM,Lam
A025GO 2018-12-7 Multiaccess box S6 T1.mp4,1,-1,-1,none,none,KM,Lam
A025GO 2018-12-8 Multiaccess box S7 T1.mp4 ,1,-1,-1,none,none,KM,Lam
A025GO 2018-12-8 Multiaccess box S8 T1.mp4,1,-1,0,none,none,KM,Lam
A025GO 2018-12-9 Multiaccess box S9 T1.mp4,1,-1,-1,none,none,KM,Lam
A025GO 2018-12-9 Multiaccess box S10 T1.mp4,1,0,0,none,none,KM,Lam
A025GO 2018-12-10 Multiaccess box S11 T2.mp4,2,-1,-1,none,none,KM,Lam
A025GO 2018-12-10 Multiaccess box S12 T2.mp4,2,0,0,none,none,KM,Lam
A025GO 2018-12-10 Multiaccess box S13 T3.mp4,3,0,0,none,none,KM,Lam
A025GO 2018-12-11 Multiaccess box S14 T4.mp4 ,4,-1,-1,none,none,KM,Lam
A025GO 2018-12-11 Multiaccess box S15 T4.mp4,5,-1,1,none,string,KM,Lam
A025GO 2018-12-11 Multiaccess box S15 T4.mp4,4,1,-1,string,none,KM,Lam
A025GO 2018-12-12 Multiaccess box S16 T5.mp4,5,-1,-1,none,none,KM,Lam
A025GO 2018-12-12 Multiaccess box S17 T5.mp4,5,-1,-1,none,none,KM,Lam
A025GO 2018-12-13 Multiaccess box S18 T5.mp4,5,-1,-1,none,none,KM,Lam
A025GO 2018-12-13 Multiaccess box S19 T5.mp4,6,-1,1,none,string,KM,Lam
A025GO 2018-12-13 Multiaccess box S19 T5.mp4,5,1,0,string,none,KM,Lam
A025GO 2018-12-14 Multiaccess Box S20 T7.mp4,7,-1,-1,none,none,LB,Lam
A025GO 2018-12-14 Multiaccess Box S21 T7.mp4,7,-1,-1,none,none,LB,Lam
A025GO 2018-12-14 Multiaccess Box S22 T7.mp4,7,-1,-1,none,none,LB,Lam
A025GO 2018-12-17 Multiaccess box S23 T7.mp4,7,-1,-1,none,none,CL,Lam
A025GO 2018-12-17 Multiaccess box S24 T7.mp4,,NA,-1,NA,none,NA,Lam
A036R- 2018-12-18 Multiaccess box S1 T1.mp4,1,1,1,twist,twist,CL,Lam
A036R- 2018-12-18 Multiaccess box S1 T2.mp4,2,1,1,push,push,CL,Lam
A036R- 2018-12-18 Multiaccess box S1 T3.mp4,3,1,1,twist,twist,CL,Lam
A036R- 2018-12-18 Multiaccess box S1 T4.mp4,4,1,1,push,string,CL,Lam
A036R- 2018-12-18 Multiaccess box S1 T5.mp4,5,1,1,twist,twist,CL,Lam
A036R- 2018-12-18 Multiaccess box S1 T6.mp4,6,1,1,push,push,CL,Lam
A036R- 2018-12-18 Multiaccess box S1 T7.mp4,7,1,1,push,push,CL,Lam
A036R- 2018-12-18 Multiaccess box S1 T8.mp4,8,1,1,push,twist,CL,Lam
A036R- 2018-12-18 Multiaccess box S1 T9.mp4,9,1,1,twist,twist,CL,Lam
A036R- 2018-12-18 Multiaccess box S1 T10.mp4,10,1,1,twist,twist,CL,Lam
A036R- 2018-12-19 Multiaccess box S2 T11.mp4,11,1,1,push,push,CL,Lam
A036R- 2018-12-19 Multiaccess box S2 T12.mp4,12,1,1,twist,twist,CL,Lam
A036R- 2018-12-19 Multiaccess box S2 T13.mp4,13,1,1,twist,twist,CL,Lam
A036R- 2018-12-19 Multiaccess box S2 T14.mp4,14,0,0,none,none,CL,Lam
A036R- 2018-12-20 Multiaccess box S3 T15.mp4,15,0,0,none,none,KM,Lam
A036R- 2018-12-20 Multiaccess box S4 T16.mp4,16,0,0,none,none,KM,Lam
A036R- 2018-12-21 Multiaccess box S5 T17.mp4,17,1,1,string,string,CL,Lam
A036R- 2018-12-21 Multiaccess box S5 T18.mp4,18,1,1,string,string,CL,Lam
A036R- 2018-12-21 Multiaccess box S5 T19.mp4,19,0,-1,none,none,CL,Lam
A036R- 2018-12-21 Multiaccess box S6 T20.mp4,20,1,1,string,string,CL,Lam
A036R- 2018-12-21 Multiaccess box S6 T21.mp4,21,1,1,string,string,CL,Lam
A036R- 2018-12-21 Multiaccess box S6 T22.mp4,22,0,0,none,none,CL,Lam
A036R- 2018-12-22 Multiaccess box S7 T23.mp4,23,1,1,window,window,CL,Lam
A036R- 2018-12-22 Multiaccess box S7 T24.mp4,24,1,0,window,window,CL,Lam
A036R- 2018-12-22 Multiaccess box S7 T25.mp4,25,-1,-1,none,none,CL,Lam
A036R- 2018-12-24 Multiaccess box S8 T25.mp4,25,1,0,window,window,CL,Lam
A036R- 2018-12-24 Multiaccess box S8 T26.mp4,26,0,0,window,window,CL,Lam
A036R- 2018-12-25 Multiaccess box S9 T27.mp4,27,0,0,window,window,CL,Lam
A036R- 2018-12-25 Multiaccess box S10 T28.mp4,28,1,1,window,window,CL,Lam
A036R- 2018-12-25 Multiaccess box S10 T29.mp4,29,1,0,window,window,CL,Lam
A036R- 2018-12-25 Multiaccess box S10 T30.mp4,30,-1,-1,none,none,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T31.mp4,31,1,1,window,window,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T32.mp4,32,1,1,window,window,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T33.mp4,33,1,1,window,window,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T34.mp4,34,1,1,window,window,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T35.mp4,35,1,1,window,window,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T36.mp4,36,1,1,window,window,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T37.mp4,37,1,1,window,window,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T37.mp4,38,1,1,window,window,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T37.mp4,39,1,1,window,window,CL,Lam
A036R- 2018-12-26 Multiaccess box S11 T40.mp4,40,0,1,window,window,CL,Lam
A036R- 2018-12-27 Multiaccess Box S12 T41.mp4,41,1,1,window,window,CL,Lam
A036R- 2018-12-27 Multiaccess Box S12 T42.mp4,42,1,1,window,window,CL,Lam
A036R- 2018-12-28 Multiaccess Box S13 T43.mp4,43,0,-1,none,none,LB,Lam