Bird,"Date (last of reversal, first of MAB)",Days between,Task
Tomatillo,9-Oct-18,,Reversal
Tomatillo,20-Dec-18,72,MABplastic
Adobo,25-Oct-19,,Reversal
Adobo,25-Oct-19,0,MABplastic
Adobo,1-Nov-19,6,MABlog
Queso,15-Oct-18,,Reversal
Queso,10-Dec-18,56,MABplastic
Habanero,7-Dec-18,,Reversal
Habanero,22-Apr-19,136,MABlog
Habanero,18-Dec-18,11,MABplastic
Mole,25-Nov-18,,Reversal
Mole,15-Apr-19,141,MABlog
Mole,12-Dec-18,17,MABplastic
Burrito,14-Nov-19,,Reversal
Burrito,28-Nov-19,14,MABlog
Burrito,20-Nov-19,6,MABplastic
Chilaquile,2-Dec-19,,Reversal
Chilaquile,8-Dec-19,6,MABlog
Chilaquile,15-Dec-19,13,MABplastic
Marisco,20-Nov-19,,Reversal
Marisco,4-Dec-19,14,MABlog
Marisco,21-Nov-19,1,MABplastic
Mofongo,18-Mar-20,,Reversal
Mofongo,29-Apr-20,,MABlog
Mofongo,23-Apr-20,,MABplastic
Pizza,28-Feb-20,,Reversal
Pizza,6-Mar-20,,MABlog
Pizza,16-Mar-20,,MABplastic
Pollito,28-Apr-20,,Reversal
Pollito,1-May-20,,MABlog
Pollito,28-Apr-20,,MABplastic
Taco,9-Oct-19,,Reversal
Taco,10-Oct-19,,MABlog
Taco,11-Oct-19,,MABplastic
Tapa,8-Dec-18,,Reversal
Tapa,29-Apr-19,142,MABlog
Tapa,28-Jan-19,51,MABplastic
Taquito,16-Mar-20,,Reversal
Taquito,9-Apr-20,,MABlog
Taquito,6-Apr-20,,MABplastic
Yuca,29-Nov-19,,Reversal
Yuca,26-Dec-19,,MABlog
Yuca,17-Dec-19,,MABplastic