Name,BirdID,Coordinates,FirstRelocation,Sex,Population,Lat,Long
Batido,S10OP,"34.417540, -119.663055","34.417540, -119.663055",M,SantaBarbara,34.41754000,-119.66305500
Cerveza,S4BO,"34.421709, -119.657783","34.421709, -119.657783",F,SantaBarbara,34.42170900,-119.65778300
Charlie,S1WWWW,"34.419671, -119.664043","34.419671, -119.664043",F,SantaBarbara,34.41967100,-119.66404300
Chicha,S9BR,"34.417540, -119.663055","34.417540, -119.663055",F,SantaBarbara,34.41754000,-119.66305500
Horchata,S7GR,"34.417540, -119.663055","34.417540, -119.663055",F,SantaBarbara,34.41754000,-119.66305500
Jugo,S11RB,"34.417540, -119.663055","34.417540, -119.663055",M,SantaBarbara,34.41754000,-119.66305500
Margarita,S3PB,"34.421709, -119.657783","34.421709, -119.657783",F,SantaBarbara,34.42170900,-119.65778300
Michelada,S5OR,"34.421709, -119.657783","34.421709, -119.657783",F,SantaBarbara,34.42170900,-119.65778300
Mojito,S6RG,"34.421709, -119.657783","34.421709, -119.657783",M,SantaBarbara,34.42170900,-119.65778300
Refresco,S8PY,"34.417540, -119.663055","34.417540, -119.663055",M,SantaBarbara,34.41754000,-119.66305500
Tequila,S2YP,"34.421709, -119.657783","34.421709, -119.657783",M,SantaBarbara,34.42170900,-119.65778300
Abeja,A079YL,NA,"33.4169, -111.9268",F,Tempe,33.41690000,-111.92680000
Adobo,A073OL,NA,"33.4237069, -111.9348069",M,Tempe,33.42370690,-111.93480690
Ahumada Asada,A081LL,NA,"33.4204, -111.9266",F,Tempe,33.42040000,-111.92660000
Al Pastor,A011-A,"33.422200, -111.919458",NA,M,Tempe,33.42220000,-111.91945800
Alma,A095GB,"33.419480, -111.926639",NA,F,Tempe,33.41948000,-111.92663900
Aquaman,A047AY,"33.420431, -111.927529","33.4189889, -111.9269",M,Tempe,33.41898890,-111.92690000
Avocada,A046NG,"33.420082, -111.926550","33.4196963, -111.9273431",F,Tempe,33.41969630,-111.92734310
Azucara,A080KS,NA,"33.4209751, -111.9356003",F,Tempe,33.42097510,-111.93560030
Becky,A027BK,"33.4223020778824, -111.9337442","33.4223222, -111.9329",F,Tempe,33.42232220,-111.93290000
Birria,A038PG,"33.419702, -111.930282","33.418431, -111.930344",F,Tempe,33.41843100,-111.93034400
Botana,A012RB,"33.422200, -111.919458",NA,F,Tempe,33.42220000,-111.91945800
Calabazo,A041-O,"33.409924, -111.934790","33.4103556, -111.934425",M,Tempe,33.41035560,-111.93442500
Cebollita,A052GA,"33.4217249, -111.9329267","33.4218, -111.9327",F,Tempe,33.42180000,-111.93270000
Cemita,A051KG,"33.419480, -111.926639","33.4206, -111.9270",F,Tempe,33.42060000,-111.92700000
Ceviche,A020YG,"33.4193933, -111.9267150","33° 25' 7.24"", 111°55'37.7""",F,Tempe,33.41867778,-111.92713890
Chalupa,A025GO,NA,NA,F,Tempe,33.41878610,-111.93634440
Chancaca,A049BA,"33.420082, -111.926550","33.4208, -111.9257",F,Tempe,33.42080000,-111.92570000
Chilaquile,A086GB,NA,"33.4183777, -111.9362607",M,Tempe,33.41837770,-111.93626070
Cochinita,A039YR,"33.419702, -111.930282","33.41966111, -111.9303917",F,Tempe,33.41966111,-111.93039170
Concha,A093AO,NA,"33.4217855, -111.9362107",F,Tempe,33.42178550,-111.93621070
Conejita,A067GK,"33.4203, -111.9363",NA,F,Tempe,33.42030000,-111.93630000
Crema,A058BS,"33.420431, -111.927529","33.4207848, -111.9291276",F,Tempe,33.42078480,-111.92912760
Cúrcuma,A083YK,"33.42357986, -111.9349941",NA,F,Tempe,33.42357986,-111.93499410
Elote,A091YO,NA,"33.4215984, -111.9361433",F,Tempe,33.42159840,-111.93614330
Empanada,A001YP,"33.422200, -111.919458",NA,F,Tempe,33.42220000,-111.91945800
Enchilada,A069ON,NA,"33.4203, -111.9363",F,Tempe,33.42030000,-111.93630000
Ensalada,A048NR,"33.418529, -111.937009",NA,F,Tempe,33.41852900,-111.93700900
Fajita,A002PB,NA,"33.422389, -111.931164",F,Tempe,33.42238900,-111.93116400
Fideo,A044KS,"33.420431, -111.927529","33.4188749, -111.9300296",M,Tempe,33.41887490,-111.93002960
Flauta,A005RG,"33.422200, -111.919458",NA,F,Tempe,33.42220000,-111.91945800
Fresca,A037BY,"33.409864, -111.934386",NA,F,Tempe,33.40986400,-111.93438600
Frijoles,A072KB,NA,"33.416549, -111.9302667",F,Tempe,33.41654900,-111.93026670
Galleta,A059NB,"33.418170, -111.936097","33.41757419, -111.9368562",F,Tempe,33.41757419,-111.93685620
Gordita,A003BO,"33.4226846, -111.9244274",NA,F,Tempe,33.42268460,-111.92442740
Guacamole,A098RR,NA,"33.4203357, -111.9249679",M,Tempe,33.42033570,-111.92496790
Guapo,A055YO,"33.422200, -111.919458","33.4222137, -111.9200966",M,Tempe,33.42221370,-111.92009660
Habanero,A036R-,"33.409864, -111.934386","33.4105101, -111.933097",M,Tempe,33.41051010,-111.93309700
Huachinango,A089GY,NA,"33.4213725, -111.935414",M,Tempe,33.42137250,-111.93541400
Kentucky,A066KY,"33.424108, -111.930218",NA,F,Tempe,33.42410800,-111.93021800
Lechuga,A078GS,NA,"33.4207967, -111.9260613",F,Tempe,33.42079670,-111.92606130
Limon,A085NY,NA,"33.42357986, -111.9349941",F,Tempe,33.42357986,-111.93499410
Mangonada,A061PR,"33.419480, -111.926639","33.4183708, -111.9291382",F,Tempe,33.41837080,-111.92913820
Marisco,A075Y-,NA,"33.4162702, -111.9261172",M,Tempe,33.41627020,-111.92611720
Memela,A043KR,"33.418048, -111.931288","33.41596984, -111.9304204",F,Tempe,33.41596984,-111.93042040
Migas,A074AL,NA,"33.4165, -111.9284",F,Tempe,33.41650000,-111.92840000
Mixiote,A040B-,"33.419702, -111.930282","33.4183556, -111.9296528",M,Tempe,33.41835560,-111.92965280
Mofongo,A090SB,NA,"33.4199646, -111.9264521",M,Tempe,33.41996460,-111.92645210
Molé,A035P-,"33.409864, -111.934386","33.4098865, -111.9347569",M,Tempe,33.40988650,-111.93475690
Morada,A034PO,"33.418529, -111.937009","33.4222472, -111.9326444",F,Tempe,33.42224720,-111.93264440
Nacho,A006-V,NA,"33.42026944, -111.9291361",M,Tempe,33.42026944,-111.92913610
Naranja,A015OO,NA,"33.42178611, -111.9304",F,Tempe,33.42178611,-111.93040000
Nopal,A033GG,"33.418048, -111.931288","33.4174842, -111.9302781",F,Tempe,33.41748420,-111.93027810
Paella,A092SN,NA,"33.42063907, -111.9273003",F,Tempe,33.42063907,-111.92730030
Palomita,A010BR,NA,"33.420, -111.928",F,Tempe,33.42000000,-111.92800000
Pan Dulce,A071OK,NA,"33.4168817, -111.9268268",F,Tempe,33.41688170,-111.92682680
Papa,A008PY,"33.422200, -111.919458",NA,F,Tempe,33.42220000,-111.91945800
Pavo,A082OY,NA,"33.42059351, -111.9268393",M,Tempe,33.42059351,-111.92683930
Peggy,A024-O,"33.419998, -111.935177",NA,F,Tempe,33.41999800,-111.93517700
Pepino,A062AP,"33.419703, -111.929471","33.4208562, -111.9301572",M,Tempe,33.42085620,-111.93015720
Pernil,A094OP,NA,"33.4179618, -111.9244683",M,Tempe,33.41796180,-111.92446830
Picante,A056G-,"33.418222, -111.929351","33.4179886, -111.9298541",M,Tempe,33.41798860,-111.92985410
Pico,A021-K,"33° 25' 6.66"", 111° 56' 11.54""","33.41851667, -111.9365389",M,Tempe,33.41851667,-111.93653890
Pinto beans,A065PB,"33.424108, -111.930218",NA,F,Tempe,33.42410800,-111.93021800
Pizza,A088YR,NA,"33.4237691, -111.9244359",M,Tempe,33.42376910,-111.92443590
Platana,A045YY,"33.422200, -111.919458",NA,F,Tempe,33.42220000,-111.91945800
Pollito,A096NS,NA,"33.419646, -111.9271263",M,Tempe,33.41964600,-111.92712630
Pozole,A053PS,"33.4217249, -111.9329267","33.4217721, -111.935226",F,Tempe,33.42177210,-111.93522600
Pupusa,A097SO,NA,"33.4184003, -111.9268876",F,Tempe,33.41840030,-111.92688760
Quesadilla,A004OR,NA,"33.4226846, -111.9244274",F,Tempe,33.42268460,-111.92442740
Queso,A031-Y,"33° 25' 30.54"", 111° 55' 40.25""","33.42515, -111.9278472",M,Tempe,33.42515000,-111.92784720
Ranchera,A060SB,"33.418170, -111.936097",NA,F,Tempe,33.41817000,-111.93609700
Roja,A032RR,"33.420061, -111.930255",NA,F,Tempe,33.42006100,-111.93025500
Salsa,A013GP,NA,"33° 25' 22.11"", 111° 55' 11.66""",F,Tempe,33.42280833,-111.91990560
SALVAGED DEAD BIRD,A28,NA,NA,,Tempe,NA,NA
Shakira,A054BN,"33.418222, -111.929351",NA,F,Tempe,33.41822200,-111.92935100
Sincronizada,A016RY,NA,"33.4247194, -111.9291194",F,Tempe,33.42471940,-111.92911940
Sofrita,A076NP,NA,NA,F,Tempe,NA,NA
Taco,A070KP,NA,"33.416588, -111.92701",M,Tempe,33.41658800,-111.92701000
Tajin,A077RS,NA,NA,F,Tempe,NA,NA
Tamale,A063OG,"33.424108, -111.930218",NA,F,Tempe,33.42410800,-111.93021800
Tapa,A042GY,"33.418048, -111.931288","33.4186932, -111.9300709",F,Tempe,33.41869320,-111.93007090
Taquito,A007-S,NA,"33.420273, -111.9308135",M,Tempe,33.42027300,-111.93081350
Torta,A050OA,"33.420082, -111.926550","33.419172, -111.9277172",F,Tempe,33.41917200,-111.92771720
Tortilla,A018BB,NA,"33.4229833, -111.9308417",F,Tempe,33.42298330,-111.93084170
Tostada,A014BG,NA,"33.42234167, -111.9331333",F,Tempe,33.42234167,-111.93313330
Tripa,A057YA,"33.418222, -111.929351","33.4175735, -111.929907",F,Tempe,33.41757350,-111.92990700
Uva,A084LP,NA,"33.4207, -111.9254",F,Tempe,33.42070000,-111.92540000
Yerba,A017GR,"33.4229833, -111.9308417",NA,F,Tempe,33.42298330,-111.93084170
Yuca,A087AG,NA,"33.4164832, -111.9260233",F,Tempe,33.41648320,-111.92602330
Ak'xi',C124YA,"38.662271, -121.713843","38.6610555, -121.7139041",M,Woodland,38.66105550,-121.71390410
Alegria,C107GY,"38.2724, -121.2917",NA,F,Woodland,38.27240000,-121.29170000
Bacmut bacni,C128SS,"38.456986, -121.490791","38.4576984, -121.4126996",M,Woodland,38.45769840,-121.41269960
Buñuelo,C116RY,"38.457960, -121.484563","38.459044, -121.4852779",M,Woodland,38.45904400,-121.48527790
Camote,C110GO,"38.4570, -121.4903","38.4573176, -121.4847763",M,Woodland,38.45731760,-121.48477630
Carlota,C115RS,"38.457699, -121.486173",NA,F,Woodland,38.45769900,-121.48617300
Changa,C130RR,"38.456986, -121.490791",NA,F,Woodland,38.45698600,-121.49079100
Chocolate,C106AA,"38.2724, -121.2917",NA,F,Woodland,38.27240000,-121.29170000
Churro,C103SG,"38.4573, -121.4878","38.4594298, -121.4914298",M,Woodland,38.45942980,-121.49142980
Cocinera,C132RO,"38.457246, -121.488612",NA,F,Woodland,38.45724600,-121.48861200
Cuervo,C125YO,"38.457080, -121.490008","38.4605411, -121.4923217",M,Woodland,38.46054110,-121.49232170
Cutuy,C134GR,"38.457246, -121.488612","38.4593671, -121.4916563",F,Woodland,38.45936710,-121.49165630
Dulce de Leche,C117GA,"38.457699, -121.486173","38.4562065, -121.4813429",M,Woodland,38.45620650,-121.48134290
Flan,C102OO,"38.4573, -121.4878","38.459090449683856, -121.49211412580634",F,Woodland,38.45909045,-121.49211410
Galandra,C119AR,"38.662271, -121.713843","38.4616709, -121.4920702",F,Woodland,38.46167090,-121.49207020
Helado,C112OR,"38.4570, -121.4903","38.4595217, -121.4908246",M,Woodland,38.45952170,121.49082460
Kau,C118RA,"38.457080, -121.490008","38.4575105, -121.4905592",M,Woodland,38.45751050,-121.49055920
Kel,C120OS,"38.662271, -121.713843","38.4627665, -121.4948999",F,Woodland,38.46276650,-121.49489990
Merengue,C114RG,"38.4575, -121.4867",NA,M,Woodland,38.45750000,-121.48670000
Piña,C109YY,"38.4570, -121.4903","38.4634763, -121.4945641",F,Woodland,38.46347630,-121.49456410
Polvorones,C105AR,"38.2724, -121.2917","38.458511, -121.4857973",M,Woodland,38.45851100,-121.48579730
Quiscalus,C135YS,"38.457246, -121.488612","38.4554088, -121.4111248",F,Woodland,38.45540880,-121.41112480
Sopapilla,C108SR,"38.2724, -121.2917","38.4664912, -121.4940635",F,Woodland,38.46649120,-121.49406350
Talingo,C127OS,"38.456986, -121.490791","38.4560457, -121.4126933",M,Woodland,38.45604570,-121.41269330
Tembleque,C104YS,"38.4573, -121.4878","38.4605925, -121.49095",M,Woodland,38.46059250,-121.49095000
Tres Leches,C111OA,"38.4570, -121.4903","38.457880, -121.486325",F,Woodland,38.45788000,-121.48632500
Tzanatl preciosa,C133OG,"38.457246, -121.488612","38.4599362, -121.4916782",F,Woodland,38.45993620,-121.49167820
Urraca,C131YY,"38.456986, -121.490791","38.4658745, -121.493245",M,Woodland,38.46587450,-121.49324500
Wachil,C123SS,"38.457080, -121.490008","38.4562387, -121.4141453",F,Woodland,38.45623870,-121.41414530
Woodland1,C121GG,"38.662271, -121.713843",,F,Woodland,38.66227100,-121.71384300
Woodland2,C122YG,"38.662271, -121.713843",,M,Woodland,38.66227100,-121.71384300
Xango,C101AY,"38.4572, -121.4866","38.4587669, -121.4861788",M,Woodland,38.45876690,-121.48617880
Xunub,C129GY,"38.456986, -121.490791","38.4606205, -121.493124",M,Woodland,38.46062050,-121.49312400
Zanate,C126YA,"38.457080, -121.490008",NA,F,Woodland,38.45708000,-121.49000800
Zapote Negro,C113SA,"38.4575, -121.4866","38.4561899, -121.4824049",M,Woodland,38.45618990,-121.48240490
Burrito,A068YS,NA,"33.4235003, -111.9370884",M,Tempe,33.42350030,-111.93708840
Chile,A009-L,"33.419703, -111.929471","33.420273, -111.9308135",M,Tempe,33.42027300,-111.93081350
Chimichanga,A023OY,"33.419998, -111.935177","33.4182833, -111.9368361",F,Tempe,33.41828330,-111.93683610
Diablo,A064LR,"33.420206, -111.934716","33.4217172, -111.9355438",M,Tempe,33.42171720,-111.93554380
Jamaica,A026PP,"33° 25' 6.66"", 111° 56' 11.54""",NA,F,Tempe,33.41851667,-111.93653890
Tomatillo,A022-N,"33° 24' 37.27"", 111° 56' 3.89""","33.4100722, -111.9345333",M,Tempe,33.41007220,-111.93453330