Name,BirdID,Species,Site,Sex,FlexibilityManipulated,NumFollows,NumFoodSwitches,NumFoodTypes,TotalFoodEvents,SumFocalTimeWFood,FoodTypesPerSec,Notes
Abeja,Abeja,GTGR,AZ,F,No,,6,5,22,1126,0.004,
Adobo,Adobo,GTGR,AZ,M,Yes,,4,4,6,900,0.004,
Ak'xi,Ak'xi,GTGR,CA,M,No,,17,3,32,816,0.004,
Aquaman,Aquaman,GTGR,AZ,M,No,,14,10,35,7595,0.001,
Azucara,Azucara,GTGR,AZ,F,No,,2,3,4,2599,0.001,
Cladonia,B08GK,BTGR,BTGR,F,No,,5,4,72,2950,0.001,
Spurge,B10PN,BTGR,BTGR,M,No,,24,5,125,6782,0.001,
Snakeroot,B16SG,BTGR,BTGR,M,No,,6,7,52,2278,0.003,
Hypericum,B17PB,BTGR,BTGR,M,No,,5,8,19,1474,0.005,
Ximenia,B18BP,BTGR,BTGR,F,No,,1,4,6,2096,0.002,
Dicerandra,B19OA,BTGR,BTGR,M,No,,0,2,2,739,0.003,
Ludwigia,B20PO,BTGR,BTGR,M,No,,1,3,9,2698,0.001,
White wing,B21PO,BTGR,BTGR,F,No,,1,2,5,1383,0.001,
Bacmut Bacni,Bacmut Bacni,GTGR,CA,M,No,,3,3,5,660,0.005,
Becky,Becky,GTGR,AZ,F,No,,0,1,8,371,0.003,
Birria,Birria,GTGR,AZ,F,No,,0,1,1,663,0.002,
Bunuelo,Bunuelo,GTGR,CA,M,No,,0,1,2,557,0.002,
Burrito,Burrito,GTGR,AZ,M,Yes,,11,10,29,6264,0.002,
Calabazo,Calabazo,GTGR,AZ,M,No,,0,2,5,1985,0.001,
Camote,Camote,GTGR,CA,M,No,,1,3,5,1245,0.002,
Cemita,Cemita,GTGR,AZ,F,No,,0,1,1,886,0.001,
Chalupa,Chalupa,GTGR,AZ,F,Yes,,3,4,12,2011,0.002,
Chilaquile,Chilaquile,GTGR,AZ,M,Yes,,18,12,58,4390,0.003,
Chile,Chile,GTGR,AZ,M,No,,3,3,22,3356,0.001,
Chimichanga,Chimichanga,GTGR,AZ,F,No,,17,9,57,3081,0.003,
Cochinita,Cochinita,GTGR,AZ,F,No,,0,1,2,527,0.002,
Concha,Concha,GTGR,AZ,F,No,,1,2,7,1693,0.001,
Crema,Crema,GTGR,AZ,F,No,,1,4,7,2242,0.002,
Cuervo,Cuervo,GTGR,CA,M,No,,10,8,25,3450,0.002,
Cutuy,Cutuy,GTGR,CA,F,No,,0,2,3,1265,0.002,
Diablo,Diablo,GTGR,AZ,M,Yes,,4,2,26,1695,0.001,
Dulce de Leche,Dulce de Leche,GTGR,CA,M,No,,1,3,7,1440,0.002,
Elote,Elote,GTGR,AZ,F,No,,0,1,1,166,0.006,
Fajita,Fajita,GTGR,AZ,F,No,,0,1,1,574,0.002,
Fideo,Fideo,GTGR,AZ,M,No,,4,7,16,4048,0.002,
Galandra,Galandra,GTGR,CA,F,No,,1,3,4,1274,0.002,
Galleta,Galleta,GTGR,AZ,F,No,,16,7,24,567,0.012,
Guacamole,Guacamole,GTGR,AZ,M,No,,1,3,44,1743,0.002,
Guapo,Guapo,GTGR,AZ,M,No,,0,1,1,900,0.001,
Habanero,Habanero,GTGR,AZ,M,Yes,,0,1,1,497,0.002,
Huachinango,Huachinango,GTGR,AZ,M,No,,0,3,4,2517,0.001,
Kau,Kau,GTGR,CA,M,No,,0,1,2,780,0.001,
Kel,Kel,GTGR,CA,F,No,,9,5,17,1258,0.004,
Lechuga,Lechuga,GTGR,AZ,F,No,,0,2,9,1057,0.002,
Mangonada,Mangonada,GTGR,AZ,F,No,,0,1,1,856,0.001,
Memela,Memela,GTGR,AZ,F,No,,4,4,19,1566,0.003,
Mixiote,Mixiote,GTGR,AZ,M,No,,2,3,7,1502,0.002,
Mofongo,Mofongo,GTGR,AZ,M,No,,5,5,8,1321,0.004,
Morada,Morada,GTGR,AZ,F,No,,20,8,41,3536,0.002,
Nacho,Nacho,GTGR,AZ,M,No,,0,3,8,2225,0.001,
Naranja,Naranja,GTGR,AZ,F,No,,2,4,12,1700,0.002,
Nopal,Nopal,GTGR,AZ,F,No,,1,2,5,900,0.002,
Paella,Paella,GTGR,AZ,F,No,,13,8,27,2672,0.003,
Palomita,Palomita,GTGR,AZ,F,No,,0,1,5,542,0.002,
Pan Dulce,Pan Dulce,GTGR,AZ,F,No,,0,1,3,699,0.001,
Pepino,Pepino,GTGR,AZ,M,No,,6,7,17,5256,0.001,
Pernil,Pernil,GTGR,AZ,M,No,,0,2,4,1288,0.002,
Pico,Pico,GTGR,AZ,M,No,,0,1,2,671,0.001,
Pina,Pina,GTGR,CA,F,No,,0,1,1,630,0.002,
Polvorones,Polvorones,GTGR,CA,M,No,,4,7,13,3576,0.002,
Pozole,Pozole,GTGR,AZ,F,No,,0,2,4,1426,0.001,
Pupusa,Pupusa,GTGR,AZ,F,No,,1,2,2,1139,0.002,
Quesadilla,Quesadilla,GTGR,AZ,F,No,,2,3,4,1776,0.002,
Queso,Queso,GTGR,AZ,M,No,,7,6,16,2687,0.002,
Quiscalus,Quiscalus,GTGR,CA,F,No,,2,3,4,1320,0.002,
Sincronizada,Sincronizada,GTGR,AZ,F,No,,9,4,16,2119,0.002,
Sopapilla,Sopapilla,GTGR,CA,F,No,,2,3,5,1753,0.002,
Taco,Taco,GTGR,AZ,M,No,,3,5,21,4474,0.001,
Talingo,Talingo,GTGR,CA,M,No,,1,4,5,1922,0.002,
Tapa,Tapa,GTGR,AZ,F,No,,0,1,8,1616,0.001,
Taquito,Taquito,GTGR,AZ,M,No,,0,2,3,1871,0.001,
Tembleque,Tembleque,GTGR,CA,M,No,,0,2,8,1260,0.002,
Tomatillo,Tomatillo,GTGR,AZ,M,No,,0,2,9,1895,0.001,
Torta,Torta,GTGR,AZ,F,No,,0,2,9,1494,0.001,
Tortilla,Tortilla,GTGR,AZ,F,No,,1,3,10,3179,0.001,
Tostada,Tostada,GTGR,AZ,F,No,,5,3,12,1322,0.002,
Tres Leches,Tres Leches,GTGR,CA,F,No,,0,1,3,814,0.001,
Tripa,Tripa,GTGR,AZ,F,No,,7,9,20,2805,0.003,
Urraca,Urraca,GTGR,CA,M,No,,2,2,4,615,0.003,
Uva,Uva,GTGR,AZ,F,No,,11,10,18,1687.8,0.006,
Wachil,Wachil,GTGR,CA,F,No,,2,5,19,2862,0.002,
Xango,Xango,GTGR,CA,M,No,,0,1,1,696,0.001,
Xunub,Xunub,GTGR,CA,M,No,,2,4,4,1290,0.003,
Zapote Negro,Zapote Negro,GTGR,CA,M,No,,2,3,4,701.75,0.004,