FLEXIBILITY,,,,
BTGR phi,0.03,0.01,0.02,0.04
diff_12 phi,0.02,0.02,-0.01,0.06
diff_13 phi,0.02,0.02,-0.01,0.06
BTGR lambda,3.78,0.72,3.33,4.24
diff_12 lambda,0.07,1.11,-1.52,2.00
diff_13 lambda,0.32,1.15,-1.20,2.39
,,,,
INNOVATIVENESS,,,,
BTGR,-0.47,0.55,-1.35,0.41
Woodland,1.20,0.24,0.82,1.58
Tempe,1.27,0.43,0.63,1.99
diff_12,-0.37,0.13,-0.58,-0.15
diff_13,-0.38,0.15,-0.61,0.14
,,,,
PERSISTENCE,,,,
BTGR,0.82,0.09,0.67,0.98
Woodland,1.28,0.04,1.21,1.36
Tempe,1.13,0.05,1.06,1.21
diff_12,-0.09,0.02,-0.12,-0.06
diff_13,-0.06,0.02,-0.10,-0.03