Name,BirdID,Coordinates,FirstRelocation,Sex,Age,Population,Lat,Lon
Batido,S10OP,"34.417540, -119.663055","34.417540, -119.663055",M,A,SantaBarbara,34.41754,-119.663055
Cerveza,S4BO,"34.421709, -119.657783","34.421709, -119.657783",F,A,SantaBarbara,34.421709,-119.657783
Charlie,S1WWWW,"34.419671, -119.664043","34.419671, -119.664043",F,J,SantaBarbara,34.419671,-119.664043
Chicha,S9BR,"34.417540, -119.663055","34.417540, -119.663055",F,A,SantaBarbara,34.41754,-119.663055
Horchata,S7GR,"34.417540, -119.663055","34.417540, -119.663055",F,A,SantaBarbara,34.41754,-119.663055
Jugo,S11RB,"34.417540, -119.663055","34.417540, -119.663055",M,A,SantaBarbara,34.41754,-119.663055
Margarita,S3PB,"34.421709, -119.657783","34.421709, -119.657783",F,A,SantaBarbara,34.421709,-119.657783
Michelada,S5OR,"34.421709, -119.657783","34.421709, -119.657783",F,A,SantaBarbara,34.421709,-119.657783
Mojito,S6RG,"34.421709, -119.657783","34.421709, -119.657783",M,A,SantaBarbara,34.421709,-119.657783
Refresco,S8PY,"34.417540, -119.663055","34.417540, -119.663055",M,A,SantaBarbara,34.41754,-119.663055
Tequila,S2YP,"34.421709, -119.657783","34.421709, -119.657783",M,A,SantaBarbara,34.421709,-119.657783
Abeja,A079YL,NA,"33.4169, -111.9268",F,J,Tempe,33.4169,-111.9268
Adobo,A073OL,NA,"33.4237069, -111.9348069",M,A,Tempe,33.4237069,-111.9348069
Ahumada Asada,A081LL,NA,"33.4204, -111.9266",F,A,Tempe,33.4204,-111.9266
Al Pastor,A011-A,"33.422200, -111.919458",NA,M,A,Tempe,33.4222,-111.919458
Alma,A095GB,"33.419480, -111.926639",NA,F,A,Tempe,33.41948,-111.926639
Aquaman,A047AY,"33.420431, -111.927529","33.4189889, -111.9269",M,A,Tempe,33.4189889,-111.9269
Avocada,A046NG,"33.420082, -111.926550","33.4196963, -111.9273431",F,A,Tempe,33.4196963,-111.9273431
Azucara,A080KS,NA,"33.4209751, -111.9356003",F,J,Tempe,33.4209751,-111.9356003
Becky,A027BK,"33.4223020778824, -111.9337442","33.4223222, -111.9329",F,J,Tempe,33.4223222,-111.9329
Birria,A038PG,"33.419702, -111.930282","33.418431, -111.930344",F,A,Tempe,33.418431,-111.930344
Botana,A012RB,"33.422200, -111.919458",NA,F,A,Tempe,33.4222,-111.919458
Calabazo,A041-O,"33.409924, -111.934790","33.4103556, -111.934425",M,A,Tempe,33.4103556,-111.934425
Cebollita,A052GA,"33.4217249, -111.9329267","33.4218, -111.9327",F,A,Tempe,33.4218,-111.9327
Cemita,A051KG,"33.419480, -111.926639","33.4206, -111.9270",F,A,Tempe,33.4206,-111.927
Ceviche,A020YG,"33.4193933, -111.9267150","33° 25' 7.24"", 111°55'37.7""",F,A,Tempe,33.41867778,-111.9271389
Chalupa,A025GO,NA,NA,F,A,Tempe,33.4187861,-111.9363444
Chancaca,A049BA,"33.420082, -111.926550","33.4208, -111.9257",F,A,Tempe,33.4208,-111.9257
Chilaquile,A086GB,NA,"33.4183777, -111.9362607",M,A,Tempe,33.4183777,-111.9362607
Cochinita,A039YR,"33.419702, -111.930282","33.41966111, -111.9303917",F,A,Tempe,33.41966111,-111.9303917
Concha,A093AO,NA,"33.4217855, -111.9362107",F,A,Tempe,33.4217855,-111.9362107
Conejita,A067GK,"33.4203, -111.9363",NA,F,J,Tempe,33.4203,-111.9363
Crema,A058BS,"33.420431, -111.927529","33.4207848, -111.9291276",F,A,Tempe,33.4207848,-111.9291276
Cúrcuma,A083YK,"33.42357986, -111.9349941",NA,F,J,Tempe,33.42357986,-111.9349941
Elote,A091YO,NA,"33.4215984, -111.9361433",F,A,Tempe,33.4215984,-111.9361433
Empanada,A001YP,"33.422200, -111.919458",NA,F,A,Tempe,33.4222,-111.919458
Enchilada,A069ON,NA,"33.4203, -111.9363",F,A,Tempe,33.4203,-111.9363
Ensalada,A048NR,"33.418529, -111.937009",NA,F,A,Tempe,33.418529,-111.937009
Fajita,A002PB,NA,"33.422389, -111.931164",F,A,Tempe,33.422389,-111.931164
Fideo,A044KS,"33.420431, -111.927529","33.4188749, -111.9300296",M,A,Tempe,33.4188749,-111.9300296
Flauta,A005RG,"33.422200, -111.919458",NA,F,A,Tempe,33.4222,-111.919458
Fresca,A037BY,"33.409864, -111.934386",NA,F,A,Tempe,33.409864,-111.934386
Frijoles,A072KB,NA,"33.416549, -111.9302667",F,A,Tempe,33.416549,-111.9302667
Galleta,A059NB,"33.418170, -111.936097","33.41757419, -111.9368562",F,A,Tempe,33.41757419,-111.9368562
Gordita,A003BO,"33.4226846, -111.9244274",NA,F,A,Tempe,33.4226846,-111.9244274
Guacamole,A098RR,NA,"33.4203357, -111.9249679",M,A,Tempe,33.4203357,-111.9249679
Guapo,A055YO,"33.422200, -111.919458","33.4222137, -111.9200966",M,A,Tempe,33.4222137,-111.9200966
Habanero,A036R-,"33.409864, -111.934386","33.4105101, -111.933097",M,A,Tempe,33.4105101,-111.933097
Huachinango,A089GY,NA,"33.4213725, -111.935414",M,A,Tempe,33.4213725,-111.935414
Kentucky,A066KY,"33.424108, -111.930218",NA,F,A,Tempe,33.424108,-111.930218
Lechuga,A078GS,NA,"33.4207967, -111.9260613",F,A,Tempe,33.4207967,-111.9260613
Limon,A085NY,NA,"33.42357986, -111.9349941",F,A,Tempe,33.42357986,-111.9349941
Mangonada,A061PR,"33.419480, -111.926639","33.4183708, -111.9291382",F,A,Tempe,33.4183708,-111.9291382
Marisco,A075Y-,NA,"33.4162702, -111.9261172",M,A,Tempe,33.4162702,-111.9261172
Memela,A043KR,"33.418048, -111.931288","33.41596984, -111.9304204",F,A,Tempe,33.41596984,-111.9304204
Migas,A074AL,NA,"33.4165, -111.9284",F,A,Tempe,33.4165,-111.9284
Mixiote,A040B-,"33.419702, -111.930282","33.4183556, -111.9296528",M,A,Tempe,33.4183556,-111.9296528
Mofongo,A090SB,NA,"33.4199646, -111.9264521",M,A,Tempe,33.4199646,-111.9264521
Molé,A035P-,"33.409864, -111.934386","33.4098865, -111.9347569",M,A,Tempe,33.4098865,-111.9347569
Morada,A034PO,"33.418529, -111.937009","33.4222472, -111.9326444",F,J,Tempe,33.4222472,-111.9326444
Nacho,A006-V,NA,"33.42026944, -111.9291361",M,A,Tempe,33.42026944,-111.9291361
Naranja,A015OO,NA,"33.42178611, -111.9304",F,A,Tempe,33.42178611,-111.9304
Nopal,A033GG,"33.418048, -111.931288","33.4174842, -111.9302781",F,A,Tempe,33.4174842,-111.9302781
Paella,A092SN,NA,"33.42063907, -111.9273003",F,A,Tempe,33.42063907,-111.9273003
Palomita,A010BR,NA,"33.420, -111.928",F,A,Tempe,33.42,-111.928
Pan Dulce,A071OK,NA,"33.4168817, -111.9268268",F,J,Tempe,33.4168817,-111.9268268
Papa,A008PY,"33.422200, -111.919458",NA,F,A,Tempe,33.4222,-111.919458
Pavo,A082OY,NA,"33.42059351, -111.9268393",M,A,Tempe,33.42059351,-111.9268393
Peggy,A024-O,"33.419998, -111.935177",NA,F,A,Tempe,33.419998,-111.935177
Pepino,A062AP,"33.419703, -111.929471","33.4208562, -111.9301572",M,J,Tempe,33.4208562,-111.9301572
Pernil,A094OP,NA,"33.4179618, -111.9244683",M,A,Tempe,33.4179618,-111.9244683
Picante,A056G-,"33.418222, -111.929351","33.4179886, -111.9298541",M,A,Tempe,33.4179886,-111.9298541
Pico,A021-K,"33° 25' 6.66"", 111° 56' 11.54""","33.41851667, -111.9365389",M,A,Tempe,33.41851667,-111.9365389
Pinto beans,A065PB,"33.424108, -111.930218",NA,F,A?,Tempe,33.424108,-111.930218
Pizza,A088YR,NA,"33.4237691, -111.9244359",M,A,Tempe,33.4237691,-111.9244359
Platana,A045YY,"33.422200, -111.919458",NA,F,A,Tempe,33.4222,-111.919458
Pollito,A096NS,NA,"33.419646, -111.9271263",M,A,Tempe,33.419646,-111.9271263
Pozole,A053PS,"33.4217249, -111.9329267","33.4217721, -111.935226",F,A,Tempe,33.4217721,-111.935226
Pupusa,A097SO,NA,"33.4184003, -111.9268876",F,A,Tempe,33.4184003,-111.9268876
Quesadilla,A004OR,NA,"33.4226846, -111.9244274",F,A,Tempe,33.4226846,-111.9244274
Queso,A031-Y,"33° 25' 30.54"", 111° 55' 40.25""","33.42515, -111.9278472",M,A,Tempe,33.42515,-111.9278472
Ranchera,A060SB,"33.418170, -111.936097",NA,F,A,Tempe,33.41817,-111.936097
Roja,A032RR,"33.420061, -111.930255",NA,F,J,Tempe,33.420061,-111.930255
Salsa,A013GP,NA,"33° 25' 22.11"", 111° 55' 11.66""",F,A,Tempe,33.42280833,-111.9199056
SALVAGED DEAD BIRD,A28,NA,NA,,HERE,Tempe,NA,NA
Shakira,A054BN,"33.418222, -111.929351",NA,F,A,Tempe,33.418222,-111.929351
Sincronizada,A016RY,NA,"33.4247194, -111.9291194",F,A,Tempe,33.4247194,-111.9291194
Sofrita,A076NP,NA,NA,F,J,Tempe,NA,NA
Taco,A070KP,NA,"33.416588, -111.92701",M,J,Tempe,33.416588,-111.92701
Tajin,A077RS,NA,NA,F,J,Tempe,NA,NA
Tamale,A063OG,"33.424108, -111.930218",NA,F,A,Tempe,33.424108,-111.930218
Tapa,A042GY,"33.418048, -111.931288","33.4186932, -111.9300709",F,A,Tempe,33.4186932,-111.9300709
Taquito,A007-S,NA,"33.420273, -111.9308135",M,A,Tempe,33.420273,-111.9308135
Torta,A050OA,"33.420082, -111.926550","33.419172, -111.9277172",F,A,Tempe,33.419172,-111.9277172
Tortilla,A018BB,NA,"33.4229833, -111.9308417",F,A,Tempe,33.4229833,-111.9308417
Tostada,A014BG,NA,"33.42234167, -111.9331333",F,A,Tempe,33.42234167,-111.9331333
Tripa,A057YA,"33.418222, -111.929351","33.4175735, -111.929907",F,A,Tempe,33.4175735,-111.929907
Uva,A084LP,NA,"33.4207, -111.9254",F,J,Tempe,33.4207,-111.9254
Yerba,A017GR,"33.4229833, -111.9308417",NA,F,A,Tempe,33.4229833,-111.9308417
Yuca,A087AG,NA,"33.4164832, -111.9260233",F,A,Tempe,33.4164832,-111.9260233
Ak'xi',C124YA,"38.662271, -121.713843","38.6610555, -121.7139041",M,A,Woodland,38.6610555,-121.7139041
Alegria,C107GY,"38.2724, -121.2917",NA,F,A,Woodland,38.2724,-121.2917
Bacmut bacni,C128SS,"38.456986, -121.490791","38.4576984, -121.4126996",M,A,Woodland,38.4576984,-121.4126996
Buñuelo,C116RY,"38.457960, -121.484563","38.459044, -121.4852779",M,A,Woodland,38.459044,-121.4852779
Camote,C110GO,"38.4570, -121.4903","38.4573176, -121.4847763",M,A,Woodland,38.4573176,-121.4847763
Carlota,C115RS,"38.457699, -121.486173",NA,F,A,Woodland,38.457699,-121.486173
Changa,C130RR,"38.456986, -121.490791",NA,F,A,Woodland,38.456986,-121.490791
Chocolate,C106AA,"38.2724, -121.2917",NA,F,A,Woodland,38.2724,-121.2917
Churro,C103SG,"38.4573, -121.4878","38.4594298, -121.4914298",M,A,Woodland,38.4594298,-121.4914298
Cocinera,C132RO,"38.457246, -121.488612",NA,F,A,Woodland,38.457246,-121.488612
Cuervo,C125YO,"38.457080, -121.490008","38.4605411, -121.4923217",M,J,Woodland,38.4605411,-121.4923217
Cutuy,C134GR,"38.457246, -121.488612","38.4593671, -121.4916563",F,A,Woodland,38.4593671,-121.4916563
Dulce de Leche,C117GA,"38.457699, -121.486173","38.4562065, -121.4813429",M,A,Woodland,38.4562065,-121.4813429
Flan,C102OO,"38.4573, -121.4878","38.459090449683856, -121.49211412580634",F,A,Woodland,38.45909045,-121.4921141
Galandra,C119AR,"38.662271, -121.713843","38.4616709, -121.4920702",F,J,Woodland,38.4616709,-121.4920702
Helado,C112OR,"38.4570, -121.4903","38.4595217, -121.4908246",M,A,Woodland,38.4595217,-121.4908246
Kau,C118RA,"38.457080, -121.490008","38.4575105, -121.4905592",M,A,Woodland,38.4575105,-121.4905592
Kel,C120OS,"38.662271, -121.713843","38.4627665, -121.4948999",F,A,Woodland,38.4627665,-121.4948999
Merengue,C114RG,"38.4575, -121.4867",NA,M,A,Woodland,38.4575,-121.4867
Piña,C109YY,"38.4570, -121.4903","38.4634763, -121.4945641",F,A,Woodland,38.4634763,-121.4945641
Polvorones,C105AR,"38.2724, -121.2917","38.458511, -121.4857973",M,A,Woodland,38.458511,-121.4857973
Quiscalus,C135YS,"38.457246, -121.488612","38.4554088, -121.4111248",F,A,Woodland,38.4554088,-121.4111248
Sopapilla,C108SR,"38.2724, -121.2917","38.4664912, -121.4940635",F,A,Woodland,38.4664912,-121.4940635
Talingo,C127OS,"38.456986, -121.490791","38.4560457, -121.4126933",M,A,Woodland,38.4560457,-121.4126933
Tembleque,C104YS,"38.4573, -121.4878","38.4605925, -121.49095",M,A,Woodland,38.4605925,-121.49095
Tres Leches,C111OA,"38.4570, -121.4903","38.457880, -121.486325",F,A,Woodland,38.45788,-121.486325
Tzanatl preciosa,C133OG,"38.457246, -121.488612","38.4599362, -121.4916782",F,A,Woodland,38.4599362,-121.4916782
Urraca,C131YY,"38.456986, -121.490791","38.4658745, -121.493245",M,A,Woodland,38.4658745,-121.493245
Wachil,C123SS,"38.457080, -121.490008","38.4562387, -121.4141453",F,J,Woodland,38.4562387,-121.4141453
Woodland1,C121GG,"38.662271, -121.713843",,F,J,Woodland,38.662271,-121.713843
Woodland2,C122YG,"38.662271, -121.713843",,M,J,Woodland,38.662271,-121.713843
Xango,C101AY,"38.4572, -121.4866","38.4587669, -121.4861788",M,A,Woodland,38.4587669,-121.4861788
Xunub,C129GY,"38.456986, -121.490791","38.4606205, -121.493124",M,A,Woodland,38.4606205,-121.493124
Zanate,C126YA,"38.457080, -121.490008",NA,F,J,Woodland,38.45708,-121.490008
Zapote Negro,C113SA,"38.4575, -121.4866","38.4561899, -121.4824049",M,A,Woodland,38.4561899,-121.4824049
Burrito,A068YS,NA,"33.4235003, -111.9370884",M,A,Tempe,33.4235003,-111.9370884
Chile,A009-L,"33.419703, -111.929471","33.420273, -111.9308135",M,A,Tempe,33.420273,-111.9308135
Chimichanga,A023OY,"33.419998, -111.935177","33.4182833, -111.9368361",F,A,Tempe,33.4182833,-111.9368361
Diablo,A064LR,"33.420206, -111.934716","33.4217172, -111.9355438",M,A,Tempe,33.4217172,-111.9355438
Jamaica,A026PP,"33° 25' 6.66"", 111° 56' 11.54""",NA,F,A,Tempe,33.41851667,-111.9365389
Tomatillo,A022-N,"33° 24' 37.27"", 111° 56' 3.89""","33.4100722, -111.9345333",M,A,Tempe,33.4100722,-111.9345333